"Albania","","Autorisé sur demande","41.1413 20.0325","Albanie",""
"Barbados","","Autorisé pour raisons socio-économiques","13.1645 -59.5405","Barbade","Autorisé en cas de viol et d'inceste"
"Bolivia","","Autorisé pour raisons de santé","-16.7289 -64.6413","Bolivie","Autorisé en cas de viol et d'inceste"
"Afghanistan","","Autorisé en cas de danger pour la vie de la mère","34.4754 66.8303","Afghanistan",""
"Algeria","","Autorisé pour raisons de santé","27.5231 3.1685","Algérie",""
"Andorra","","Strictement interdit","42.5413 1.5609","Andorre",""
"Angola","","Autorisé pour raisons de santé","-12.2916 17.5029","Angola","Autorisé en cas de viol et d'inceste"
"Antigua & Barbuda","","Autorisé en cas de danger pour la vie de la mère","17.2235 -61.9555","Antigua et Barbuda",""
"Argentina","","Autorisé sur demande","-31.9447 -64.1398","Argentine",""
"Armenia","","Autorisé sur demande","40.2165 45.0003","Arménie",""
"Aruba","","Strictement interdit","12.517 -69.9742","Aruba",""
"Australia","","Autorisé sur demande","-23.079 132.842","Australie",""
"Austria","","Autorisé sur demande","47.614 14.0762","Autriche",""
"Azerbaijan","","Autorisé sur demande","40.2805 47.6804","Azerbaïdjan",""
"Bahamas","","Autorisé pour raisons de santé","24.5065 -77.916","Bahamas",""
"Bahrain","","Autorisé en cas de danger pour la vie de la mère","26.0165 50.5475","Bahreïn",""
"Bangladesh","","Autorisé en cas de danger pour la vie de la mère","23.5391 89.8049","Bangladesh",""
"Belarus","","Autorisé sur demande","53.744 27.947","Bélarus",""
"Belgium ","","Autorisé sur demande","50.6403 4.6667","Belgique",""
"Belize","","Autorisé pour raisons socio-économiques","17.197 -88.7035","Belize",""
"Benin","","Autorisé sur demande","10.6795 2.2845","Bénin",""
"Bhutan","","Autorisé en cas de danger pour la vie de la mère","27.5075 90.4695","Bhoutan","Autorisé en cas de viol et d'inceste"
"Bosnia and Herzegovina","","Autorisé sur demande","44.1809 17.8168","Bosnie-Herzégovine",""
"Botswana","","Autorisé pour raisons de santé","-21.6721 23.9051","Botswana","Autorisé en cas de viol et d'inceste"
"Brazil","","Autorisé en cas de danger pour la vie de la mère","-12.4328 -48.9943","Brésil","Autorisé en cas de viol"
"Brunei Darussalam","","Autorisé en cas de danger pour la vie de la mère","4.6904 114.9152","Brunei Darussalam",""
"Bulgaria","","Autorisé sur demande","42.7345 23.8815","Bulgarie",""
"Burkina Faso","","Autorisé pour raisons de santé","13.0516 -0.6541","Burkina Faso","Autorisé en cas de viol et d'inceste"
"Burundi","","Autorisé pour raisons de santé","-3.407 29.8885","Burundi",""
"Cambodia","","Autorisé sur demande","12.5285 104.3905","Cambodge",""
"Cameroon","","Autorisé pour raisons de santé","4.5495 11.3105","Cameroun","Autorisé en cas de viol"
"Canada","","Autorisé sur demande","58.838 -120.439","Canada",""
"Cape Verde ","","Autorisé sur demande","16.0001 -24.0084","Cabo Verde",""
"Central African Republic","","Autorisé pour raisons de santé","7.2596 21.6691","République Centrafricaine","Autorisé en cas de viol et d'inceste"
"Chad","","Autorisé pour raisons de santé","17.1223 19.3602","Tchad","Autorisé en cas de viol et d'inceste"
"Chile","","Autorisé en cas de danger pour la vie de la mère","-45.7382 -72.9381","Chili","Autorisé en cas de viol"
"China","","Autorisé sur demande","32.205 109.444","Chine",""
"Colombia","","Autorisé sur demande","3.6525 -73.3121","Colombie",""
"Comoros","","Autorisé pour raisons de santé","-11.79 43.356","Comores",""
"Congo","","Strictement interdit","0.0213 16.1533","Congo",""
"Costa Rica","","Autorisé pour raisons de santé","9.9656 -84.1755","Costa Rica",""
"Côte d’Ivoire","","Autorisé en cas de danger pour la vie de la mère","7.9897 -5.5679","Côte d'Ivoire","Autorisé en cas de viol"
"Croatia","","Autorisé sur demande","46.001 16.172","Croatie",""
"Cuba","","Autorisé sur demande","20.2717 -75.3897","Cuba",""
"Curaçao","","Strictement interdit","12.1176 -68.9309","Curaçao",""
"Cyprus","","Autorisé sur demande","34.8725 33.131","Chypre",""
"Czechia","","Autorisé sur demande","49.836 15.5465","Tchécoslovaquie",""
"Democratic People’s Republic of Korea","","Autorisé sur demande","39.6627 126.2592","République populaire démocratique de Corée",""
"Democratic Republic of the Congo","","Autorisé pour raisons de santé","-1.6864 23.7526","République démocratique du Congo","Autorisé en cas de viol et d'inceste"
"Denmark","","Autorisé sur demande","56.2196 9.3108","Danemark",""
"Djibouti","","Autorisé pour raisons de santé","12.169 42.904","Djibouti",""
"Dominica","","Autorisé en cas de danger pour la vie de la mère","15.4365 -61.357","Dominique",""
"Dominican Republic","","Strictement interdit","18.8845 -70.4623","République Dominicaine",""
"Ecuador","","Autorisé pour raisons de santé","-1.4547 -78.3841","Équateur","Autorisé en cas de viol"
"Egypt","","Strictement interdit","26.1939 28.8939","Égypte",""
"El Salvador","","Strictement interdit","13.7262 -88.8729","El Salvador",""
"Equatorial Guinea","","Autorisé sur demande","1.647 10.2955","Guinee Equatoriale",""
"Eritrea","","Autorisé pour raisons de santé","15.9194 38.4016","Erythrée","Autorisé en cas de viol et d'inceste"
"Estonia","","Autorisé sur demande","58.5425 26.5455","Estonie",""
"Eswatini","","Autorisé pour raisons de santé","-26.4899 31.3955","Eswatini","Autorisé en cas de viol et d'inceste"
"Ethiopia","","Autorisé pour raisons socio-économiques","8.83 38.362","Éthiopie","Autorisé en cas de viol et d'inceste"
"Fiji","","Autorisé pour raisons socio-économiques","-17.814 177.759","Fidji","Autorisé en cas de viol et d'inceste"
"Finland","","Autorisé sur demande","63.0704 27.7396","Finlande",""
"France","","Autorisé sur demande","46.6113 2.3336","France",""
"french Guyana","","Autorisé sur demande","4.004 -53","Guyane Française",""
"Gabon","","Autorisé en cas de danger pour la vie de la mère","-0.647 11.6875","Gabon","Autorisé en cas de viol et d'inceste"
"Gambia","","Autorisé en cas de danger pour la vie de la mère","13.5035 -14.2265","Gambie",""
"Georgia","","Autorisé sur demande","42.1618 43.4818","Géorgie",""
"Germany","","Autorisé sur demande","51.143 9.829","Allemagne",""
"Ghana","","Autorisé pour raisons de santé","6.862 -1.092","Ghana","Autorisé en cas de viol et d'inceste"
"United Kingdom","","Autorisé pour raisons socio-économiques","52.4072 -1.7451","Grande Bretagne",""
"Greece","","Autorisé sur demande","38.4414 22.1814","Grèce",""
"Grenada","","Autorisé pour raisons de santé","12.1178 -61.6791","Grenade",""
"Guatemala","","Autorisé en cas de danger pour la vie de la mère","15.2365 -90.7275","Guatemala",""
"Guinea","","Autorisé pour raisons de santé","10.6071 -13.1511","Guinée","Autorisé en cas de viol et d'inceste"
"Guinea-Bissau","","Autorisé sur demande","12.0227 -15.1106","Guinée-Bissau",""
"Guyana","","Autorisé sur demande","4.8175 -58.9745","Guyana",""
"Haiti","","Strictement interdit","19.4448 -72.1017","Haïti",""
"Honduras","","Strictement interdit","14.8229 -86.5899","Honduras",""
"Hong Kong","","Autorisé pour raisons socio-économiques","22.3506 114.1849","Hong Kong","Autorisé en cas de viol et d'inceste"
"Hungary","","Autorisé sur demande","47.192 20.498","Hongrie",""
"Iceland","","Autorisé sur demande","65.0115 -18.968","Islande",""
"India","","Autorisé pour raisons socio-économiques","22.5754 78.8386","Inde","Autorisé en cas de viol"
"Indonesia","","Autorisé en cas de danger pour la vie de la mère","-0.9517 114.2118","Indonésie","Autorisé en cas de viol"
"Iran","","Autorisé en cas de danger pour la vie de la mère","31.9382 55.5426","Iran",""
"Iraq","","Strictement interdit","33.242 42.935","Irak",""
"Ireland","","Autorisé sur demande","53.1805 -8.01","Irlande",""
"Israel","","Autorisé pour raisons de santé","30.728 34.662","Israël","Autorisé en cas de viol et d'inceste"
"Italy","","Autorisé sur demande","45.3889 10.7776","Italie",""
"Jamaica","","Strictement interdit","18.1125 -77.269","Jamaïque",""
"Japan","","Autorisé pour raisons socio-économiques","36.8513 139.1112","Japon","Autorisé en cas de viol"
"Jordan","","Autorisé pour raisons de santé","30.7659 36.4909","Jordanie",""
"Kazakhstan","","Autorisé sur demande","48.9437 67.6303","Kazakhstan",""
"Kenya","","Autorisé pour raisons de santé","0.4145 37.8745","Kenya",""
"Kiribati","","Autorisé en cas de danger pour la vie de la mère","1.8719 202.6221","Kiribati",""
"Kosovo (under UNSCR 1244)","","Autorisé sur demande","42.5794 20.8954","Kosovo",""
"Kuwait","","Autorisé pour raisons de santé","29.3073 47.6003","Koweit",""
"Kyrgyzstan","","Autorisé sur demande","41.7909 74.9911","Kirghizistan",""
"Lao People’s Democratic Republic","","Strictement interdit","19.9325 102.4435","Laos",""
"Latvia","","Autorisé sur demande","56.7925 26.9435","Lettonie",""
"Lebanon","","Autorisé en cas de danger pour la vie de la mère","33.9117 35.8708","Liban",""
"Lesotho","","Autorisé pour raisons de santé","-29.6255 28.1698","Lesotho","Autorisé en cas de viol et d'inceste"
"Liberia","","Autorisé pour raisons de santé","6.7929 -9.9769","Liberia","Autorisé en cas de viol et d'inceste"
"Libya","","Autorisé en cas de danger pour la vie de la mère","25.9354 20.7569","Libye",""
"Liechtenstein","","Autorisé pour raisons de santé","47.122 9.546","Liechtenstein","Autorisé en cas de viol"
"Lithuania","","Autorisé sur demande","55.1395 23.822","Lituanie",""
"Luxembourg","","Autorisé sur demande","49.7275 5.9585","Luxembourg",""
"Madagascar","","Strictement interdit","-18.821 46.8655","Madagascar",""
"Malawi","","Autorisé en cas de danger pour la vie de la mère","-13.3315 33.8445","Malawi",""
"Malaysia","","Autorisé pour raisons de santé","5.3893 117.3568","Malaisie",""
"Maldives","","Autorisé sur demande","4.1909 73.5081","Maldives",""
"Mali","","Autorisé en cas de danger pour la vie de la mère","18.4654 -1.9417","Mali","Autorisé en cas de viol et d'inceste"
"Malta","","Strictement interdit","35.8975 14.4185","Malte",""
"Marshall Islands","","Autorisé en cas de danger pour la vie de la mère","8.2308 167.7953","Iles Marshall",""
"Mauritania","","Strictement interdit","19.1695 -9.4755","Mauritanie",""
"Mauritius","","Autorisé pour raisons de santé","-20.2793 57.5696","Maurice","Autorisé en cas de viol et d'inceste"
"Mexico","","Autorisé sur demande","23.63 -101.97","Mexique",""
"Micronesia","","Autorisé en cas de danger pour la vie de la mère","8.6062 151.8327","Micronésie (Etats fédérés de)",""
"Moldova","","Autorisé sur demande","47.2036 28.4105","Moldavie",""
"Monaco","","Autorisé pour raisons de santé","43.7399 7.3989","Monaco","Autorisé en cas de viol et d'inceste"
"Mongolia","","Autorisé sur demande","46.1689 105.3854","Mongolie",""
"Montenegro","","Autorisé sur demande","42.7891 19.2862","Montenegro",""
"Morocco","","Autorisé pour raisons de santé","31.7 -7.1325","Maroc",""
"Mozambique","","Autorisé sur demande","-13.497 38.127","Mozambique",""
"Myanmar","","Autorisé en cas de danger pour la vie de la mère","21.5841 96.1867","Myanmar",""
"Namibia","","Autorisé pour raisons de santé","-20.7238 17.0299","Namibie","Autorisé en cas de viol et d'inceste"
"Nauru","","Autorisé pour raisons de santé","-0.521 166.9325","Nauru","Autorisé en cas de viol et d'inceste"
"Nepal","","Autorisé sur demande","28.9136 81.5974","Népal",""
"Netherlands","","Autorisé sur demande","52.157 5.2035","Pays-Bas",""
"New Caledonia","","Autorisé sur demande","-20.4543 164.5566","Nouvelle Calédonie",""
"New Zealand","","Autorisé sur demande","-44.7201 169.9667","Nouvelle-Zélande",""
"Nicaragua","","Strictement interdit","12.8482 -85.0204","Nicaragua",""
"Niger","","Autorisé pour raisons de santé","17.3457 9.3245","Niger",""
"Nigeria","","Autorisé en cas de danger pour la vie de la mère","9.6551 8.1061","Nigeria",""
"Norway","","Autorisé sur demande","60.5366 7.4496","Norvège",""
"Oman","","Autorisé en cas de danger pour la vie de la mère","22.019 57.368","Oman",""
"Pakistan","","Autorisé pour raisons de santé","29.3252 68.7733","Pakistan",""
"Palau","","Strictement interdit","7.5364 134.583","Palau",""
"Panama","","Autorisé en cas de danger pour la vie de la mère","8.4165 -81.7705","Panama","Autorisé en cas de viol"
"Papua New Guinea","","Autorisé en cas de danger pour la vie de la mère","-6.1227 143.5162","Papouasie Nouvelle Guinée",""
"Paraguay","","Autorisé en cas de danger pour la vie de la mère","-21.9074 -60.1206","Paraguay",""
"Peru","","Autorisé pour raisons de santé","-13.1699 -73.0464","Perou",""
"Philippines","","Strictement interdit","17.3711 121.4954","Philippines",""
"Poland","","Autorisé pour raisons de santé","52.1484 19.311","Pologne","Autorisé en cas de viol et d'inceste"
"Portugal","","Autorisé sur demande","38.7993 -8.3502","Portugal",""
"Puerto Rico","","Autorisé pour raisons de santé","18.2248 -66.4858","Porto Rico",""
"Qatar","","Autorisé pour raisons de santé","25.3217 51.1836","Qatar",""
"Republic of Korea","","Autorisé sur demande","36.0655 127.7929","Corée du Sud",""
"North Macedonia","","Autorisé sur demande","41.6059 21.6977","Macédoine du Nord",""
"Romania","","Autorisé sur demande","45.857 24.9433","Roumanie",""
"Russian Federation","","Autorisé sur demande","63.4218 94.1005","Russie",""
"Rwanda","","Autorisé pour raisons socio-économiques","-2.0136 29.9188","Rwanda","Autorisé en cas de viol et d'inceste"
"Saint Kitts & Nevis","","Autorisé en cas de danger pour la vie de la mère","17.2505 -62.6726","Saint Kitts et Nevis",""
"Saint Lucia","","Autorisé pour raisons de santé","13.9027 -60.9703","Sainte-Lucie","Autorisé en cas de viol et d'inceste"
"Saint Vincent & Grenadines","","Autorisé pour raisons socio-économiques","12.9045 -61.2766","Saint Vincent et les Grenadines","Autorisé en cas de viol et d'inceste"
"Samoa","","Autorisé pour raisons de santé","-13.6305 -172.4382","Samoa",""
"San Marino","","Autorisé sur demande","43.9365 12.4423","Saint Marin",""
"Sao Tome & Principe","","Autorisé sur demande","0.9713 7.0226","Sao Tomé et Principe",""
"Saudi Arabia","","Autorisé pour raisons de santé","23.7603 45.0093","Arabie Saoudite",""
"Senegal","","Strictement interdit","14.9983 -14.9588","Sénégal",""
"Serbia","","Autorisé sur demande","44.2085 20.7935","Serbie",""
"Seychelles","","Autorisé pour raisons de santé","-4.6761 55.4673","Seychelles","Autorisé en cas de viol et d'inceste"
"Sierra Leone","","Strictement interdit","8.5306 -11.7953","Sierra Leone",""
"Singapore","","Autorisé sur demande","1.3565 103.8215","Singapour",""
"Slovakia","","Autorisé sur demande","48.7266 19.5075","Slovaquie",""
"Slovenia","","Autorisé sur demande","46.152 15.1315","Slovénie",""
"Solomon Islands ","","Autorisé en cas de danger pour la vie de la mère","-8.7054 159.1071","Îles Salomon",""
"Somalia","","Autorisé en cas de danger pour la vie de la mère","2.7588 42.8849","Somalie",""
"South Africa","","Autorisé sur demande","-29.6482 23.1067","Afrique du Sud",""
"South Sudan","","Autorisé en cas de danger pour la vie de la mère","7.2928 30.1985","Sud-Soudan",""
"Spain","","Autorisé sur demande","40.3544 -3.611","Espagne",""
"Sri Lanka","","Autorisé en cas de danger pour la vie de la mère","7.7004 80.6672","Sri Lanka",""
"Sudan","","Autorisé en cas de danger pour la vie de la mère","16.5644 29.0451","Soudan","Autorisé en cas de viol"
"Suriname","","Strictement interdit","4.1199 -55.9116","Suriname",""
"Sweden","","Autorisé sur demande","58.581 14.246","Suède",""
"Switzerland","","Autorisé sur demande","46.7919 8.1183","Suisse",""
"Syrian Arab Republic","","Autorisé en cas de danger pour la vie de la mère","35.0126 38.5441","Syrie",""
"Taiwan","","Autorisé pour raisons socio-économiques","23.9739 120.982","Taiwan","Autorisé en cas de viol et d'inceste"
"Tajikistan","","Autorisé sur demande","38.3213 72.1918","Tadjikistan",""
"Tanzania","","Autorisé en cas de danger pour la vie de la mère","-5.6989 34.2839","Tanzanie",""
"Thailand","","Autorisé sur demande","15.4439 100.9692","Thaïlande",""
"Timor-Leste","","Autorisé en cas de danger pour la vie de la mère","-8.7676 125.9664","Timor-Leste",""
"Togo","","Autorisé pour raisons de santé","8.8015 0.9075","Togo","Autorisé en cas de viol et d'inceste"
"Tonga","","Strictement interdit","-21.1655 -175.2625","Tonga",""
"Trinidad and Tobago","","Autorisé pour raisons de santé","10.4282 -61.3304","Trinité-et-Tobago",""
"Tunisia","","Autorisé sur demande","33.7774 9.0109","Tunisie",""
"Turkey","","Autorisé sur demande","39.3196 34.3321","Turquie",""
"Turkmenistan","","Autorisé sur demande","39.4791 59.5154","Turkménistan",""
"Tuvalu","","Autorisé en cas de danger pour la vie de la mère","-8.5042 179.2049","Tuvalu",""
"Uganda","","Autorisé en cas de danger pour la vie de la mère","1.9676 32.9896","Ouganda",""
"Ukraine","","Autorisé sur demande","48.8464 33.5486","Ukraine",""
"United Arab Emirates","","Autorisé en cas de danger pour la vie de la mère","23.3865 54.2485","Émirats arabes unis",""
"United States of America","","Législation variant au niveau sous-national","39.382 -99.3421","Etats-unis",""
"Uruguay","","Autorisé sur demande","-32.781 -56.0032","Uruguay",""
"Uzbekistan","","Autorisé sur demande","41.8936 63.8434","Ouzbekistan",""
"Vanuatu","","Autorisé pour raisons de santé","-15.296 166.885","Vanuatu",""
"Venezuela","","Autorisé en cas de danger pour la vie de la mère","7.1583 -64.0124","Venezuela",""
"Viet Nam","","Autorisé sur demande","21.5866 105.3047","Vietnam",""
"State of Palestine","","Autorisé en cas de danger pour la vie de la mère","31.9479 35.2478","Palestine",""
"Yemen","","Autorisé en cas de danger pour la vie de la mère","15.3921 45.4111","Yémen",""
"Zambia","","Autorisé pour raisons socio-économiques","-14.9226 26.1418","Zambie",""
"Zimbabwe","","Autorisé pour raisons de santé","-18.907 29.7885","Zimbabwe","Autorisé en cas de viol et d'inceste"
